placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,water,Polygon,"""The city is adjacent to, and named after, Lake Worth, a popular recreational lake in the northwestern portion of Tarrant County.""","Lake Worth, Texas","Lake Worth, Texas",adjacent to,touches,is adjacent to
aeroway,Polygon,amenity,Polygon,"""It is on the western Gulf Coast in South Texas, adjacent to the border with Matamoros, Mexico.""","Gulf Coast, Texas","Matamoros, Texas",adjacent to,touches,is adjacent to
tourism,Polygon,water,Polygon,"""The city is adjacent to Grapevine Lake, a large reservoir impounded by the Army Corps of Engineers in 1952 that serves as a source of water and recreational area.""",Grapevine,"Grapevine Lake, Texas",adjacent to,overlaps,is adjacent to
city,Polygon,aeroway,Polygon,"""The city is adjacent to the Jack Brooks Regional Airport.""","Nederland, Texas","Jack Brooks Regional Airport, Texas",adjacent to,touches,is adjacent to
city,Polygon,city,MultiPolygon,adjacent to,"Gillett,wisconsin","green bay metropolitan area(Brown, Kewaunee, Oconto),wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Shullsburg,wisconsin","town of shullsburg,wisconsin",adjacent to,touches,is adjacent to
city,MultiPolygon,municipality,Polygon,adjacent to,"River Falls,wisconsin","kinnickinnic,wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Merrill,wisconsin","town of merrill,wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Gillett,wisconsin","town of gillett ,wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Fennimore,wisconsin","town of fennimore ,wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Crandon,wisconsin","town of crandon ,wisconsin",adjacent to,touches,is adjacent to
city,Polygon,municipality,Polygon,adjacent to,"Crandon,wisconsin","Town of Crandon,wisconsin",adjacent to,touches,is adjacent to
town,Polygon,aeroway,Polygon,"""The city is between South San Francisco and Millbrae, adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco.""","San Bruno, California","San Francisco International Airport, California",adjacent to,touches,is adjacent to
town,Polygon,town,Polygon,"""It is adjacent to Cathedral City, Palm Desert, and Unincorporated Thousand Palms.""","Rancho Mirage, California","Palm Desert, California",adjacent to,touches,is adjacent to
town,Polygon,town,Polygon,"""It is adjacent to Cathedral City, Palm Desert, and Unincorporated Thousand Palms.""","Rancho Mirage, California","Cathedral City, California",adjacent to,touches,is adjacent to
city,MultiPolygon,municipality,MultiPolygon,adjacent to,"Oshkosh,wisconsin","town of oshkosh ,wisconsin",adjacent to,touches,is adjacent to
residential,Polygon,city,Polygon,"""The Colorado River runs adjacent to the city.""","The Colorado River, Texas","Lago Vista, Texas",adjacent to,disjoint,is adjacent to
city,Polygon,city,Polygon,"""El Paso adjoins it on the west and the smaller city of San Elizario on the southeast.""","Socorro, Texas","El Paso, Texas",adjoins,touches,adjoins
city,Polygon,city,Polygon,"""La Marque experienced considerable growth in the 1950s, during which the city provided a general administrative and trades and crafts workforce helping to support the petrochemical complex in adjoining Texas City.""","La Marque, Texas","Texas City, Texas",adjoins,touches,adjoins
city,Polygon,town,Polygon,"""The city of Socorro adjoins it on the west and the town of Clint lies to the north.""","Socorro, Texas","San Elizario, Texas",adjoins,touches,adjoins
village,Polygon,water,LineString,along,"Omro,wisconsin","fox river,wisconsin",along,crosses,is along
city,Polygon,water,LineString,along,"Mondovi,wisconsin","Buffalo River,wisconsin",along,crosses,is along
town,Polygon,water,LineString,"""Luling /√Ä√†lu√Ä√™l‚Ä¶‚Ñ¢‚âà√£/ is a city in Caldwell and Guadalupe counties, Texas, United States, along the San Marcos River.""","Luling, Texas","San Marcos River, Texas",along,crosses,is along
city,Polygon,highway,LineString,"""The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.""","Orchard, Texas","State Highway 36 (SH 36), Texas",along,crosses,is along
city,Polygon,water,LineString,"""It was incorporated in May 2004 originally as 'Brazos Bend', and is located along the main stem of the Brazos River.""","Brazos Bend, Texas","Brazos River, Texas",along,crosses,is along
city,Polygon,water,Polygon,"""The city, along the southern edge of Lake Tahoe, extends about 5 miles (8 km) west-southwest along U.S. Route 50, also known as Lake Tahoe Boulevard.""","South Lake Tahoe, California","Lake Tahoe, California",along,overlaps,is along
city,Polygon,water,Polygon,located along,"Two Rivers,wisconsin",Lake Michigan,along,touches,is along
city,MultiPolygon,highway,LineString,"With its accessible location along the U.S. Route 101 corridor, Ukiah serves as the city center for Mendocino County and much of is neighboring Lake County.,Ukiah,is,north of Mendocino County,California","Ukiah, California","Route 101, United State",along,crosses,is along
city,MultiPolygon,highway,LineString,"Ceres is located in the San Joaquin Valley along State Route 99, south of Modesto and north of Turlock in Stanislaus County.,Ceres,south of,Modesto","Ceres, California",State Route 99,along,crosses,is along
city,Polygon,county,MultiPolygon,New Berlin (/nuːˈbɜːrlɪn/) is a city located along the Milwaukee/Waukesha County Border in the U.S. State of Wisconsin.,"New Berlin,wisconsin","milwaukee county,wisconsin",along the border,touches,is along
city,Polygon,water,LineString,"""The city is located along the Rio Grande, across from Ciudad Miguel Alem√°n in Tamaulipas, Mexico.""","Roma, Texas","Rio Grande River, Mexico",along the border,touches,is along
city,Polygon,county,Polygon,New Berlin (/nuːˈbɜːrlɪn/) is a city located along the Milwaukee/Waukesha County Border in the U.S. State of Wisconsin.,"New Berlin,wisconsin","waukesha county,wisconsin",along the border,within,is along
city,MultiPolygon,state,Polygon,"""Houston was part of an independent nation until 1846 when the United States formally annexed Texas.""","Houston, Texas",Texas,annexed,within,annexed
city,Polygon,river,LineString,at the confluence of,"Prescott,wisconsin","st. croix river,wisconsin",at the confluence of,crosses,at the confluence of
water,Polygon,city,Polygon,at the city's western edge,"lake onalaska,wisconsin","Onalaska,wisconsin",at the edge of,overlaps,at the edge of
city,Polygon,water,Polygon,"""Chandler is a city in Henderson County, Texas, United States, at the northern end of Lake Palestine.""","Chandler, Texas","Lake Palestine, Texas",at the end of ,overlaps,at the end of 
city,Polygon,highway,LineString,"""Smiley has two cafes, no gas stations, a Wells Fargo bank and one blinking traffic signal at the intersection of US87 and FM108.""","Smiley, Texas","US87 and FM108, Texas",at the intersection of,crosses,at the intersection of
city,MultiPolygon,river,LineString,at the mouth of,"Green Bay,wisconsin","fox river,wisconsin",at the mouth of,crosses,at the mouth of
city,MultiPolygon,river,LineString,at the mouth of,"Racine,wisconsin","root river,wisconsin",at the mouth of,crosses,at the mouth of
city,Polygon,river,LineString,"""Big Lake is situated atop the divide between the Rio Grande and Colorado River watersheds.""","Big Lake, Texas","Rio Grande river,Mexico",atop,disjoint,atop
office,Polygon,city,MultiPolygon,based in,"trane,wisconsin","La Crosse,wisconsin",based in,within,based in
city,MultiPolygon,city,Polygon,"""It is the 21st largest metropolitan area in California, ranked behind Redding and Chico.""","Redding, California","Chico, California",behind,disjoint,behind
town,Polygon,town,Polygon,"""Incorporated in 1973 and located between Cathedral City and Palm Desert, it is one of the nine cities of the Coachella Valley (Palm Springs area).""","Rancho Mirage, California"," Cathedral City, California",between,touches,is between C and
city,Polygon,locality,Polygon,"""Grand Terrace is located between Highgrove and Colton, along the I-215 and Agua Mansa industrial corridors.""","Grand Terrace, California","Highgrove, California",between,touches,is between C and
town,Polygon,city,Polygon,"""It lies in a corridor between the cities of Berkeley and Oakland, with a border on the shore of San Francisco Bay.""","Emeryville, California","Berkeley, California",between,touches,is between C and
town,Polygon,city,Polygon,"""It lies in a corridor between the cities of Berkeley and Oakland, with a border on the shore of San Francisco Bay.""","Emeryville, California","Oakland, California",between,touches,is between C and
city,Polygon,city,Polygon,"""Grand Terrace is located between Highgrove and Colton, along the I-215 and Agua Mansa industrial corridors.""","Grand Terrace, California","Colton, California",between,touches,is between C and
county,Polygon,county,Polygon,"""It is on California State Route 1 between Monterey and Santa Cruz and sits at an elevation of 43 feet (13 m).""","Monterey, California","Santa Cruz, California",between,touches,is between C and
town,Polygon,town,Polygon,"""Located between Indian Wells and Indio, it is one of the nine cities of the Coachella Valley.""","La Quinta, California","Indian Wells, California",between,touches,is between C and
town,Polygon,city,MultiPolygon,"""Located between Indian Wells and Indio, it is one of the nine cities of the Coachella Valley.""","La Quinta, California","Indio, California",between,touches,is between C and
city,Polygon,town,Polygon,"""Cotati (/ko¬¨‚Ä†‚àö¬ß‚àö√Ñ‚àö‚Ä†t‚Äö√Ñ¬∂‚àö¬¥‚àö√Ñ‚àö‚Ñ¢ti‚àö√Ñ‚àö‚Ñ¢/; Miwok: Kota‚Äö√Ñ√∂‚àö√ë‚àö¬•ti) is an incorporated city in Sonoma County, California, United States, located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.""","Cotati, California","Rohnert Park, California",between,touches,is between C and
town,Polygon,city,Polygon,"""The city is between South San Francisco and Millbrae, adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco.""","San Bruno, California","South San Francisco, California",between,touches,is between C and
town,Polygon,town,Polygon,"""The city is between South San Francisco and Millbrae, adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco.""","San Bruno, California","Millbrae, California",between,touches,is between C and
town,Polygon,town,Polygon,"""Incorporated in 1967, it lies in between the cities of Palm Desert and La Quinta.""","Indian Wells, California","Palm Desert, California",between,touches,is between C and
town,Polygon,town,Polygon,"""Incorporated in 1967, it lies in between the cities of Palm Desert and La Quinta.""","Indian Wells, California","La Quinta, California",between,touches,is between C and
city,Polygon,town,Polygon,"""Situated between Palm Springs and Rancho Mirage, the city has the second largest population, after Indio, of the nine cities in the Coachella Valley.""","Palm Springs, California","Rancho Mirage, California",between,touches,is between C and
town,Polygon,city,Polygon,"""It is nestled along the foothills of the Santa Rosa Mountains in the south and is located between the cities of Palm Springs and Palm Desert.""","Rancho Mirage, California","Palm Springs, California",between,touches,is between C and
city,Polygon,city,Polygon,"""Cotati (/ko¬¨‚Ä†‚àö¬ß‚àö√Ñ‚àö‚Ä†t‚Äö√Ñ¬∂‚àö¬¥‚àö√Ñ‚àö‚Ñ¢ti‚àö√Ñ‚àö‚Ñ¢/; Miwok: Kota‚Äö√Ñ√∂‚àö√ë‚àö¬•ti) is an incorporated city in Sonoma County, California, United States, located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.""","Cotati, California","Rohnert Par, California",between,touches,is between C and
city,Polygon,city,Polygon,"""The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.""","Orchard, Texas","Rosenberg, Texas",between,disjoint,is between C and
city,Polygon,city,Polygon,"""The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.""","Orchard, Texas","Wallis, Texas",between,disjoint,is between C and
city,Polygon,city,Polygon,"""Cotati (/ko¬¨‚Ä†‚àö¬ß‚àö√Ñ‚àö‚Ä†t‚Äö√Ñ¬∂‚àö¬¥‚àö√Ñ‚àö‚Ñ¢ti‚àö√Ñ‚àö‚Ñ¢/; Miwok: Kota‚Äö√Ñ√∂‚àö√ë‚àö¬•ti) is an incorporated city in Sonoma County, California, United States, located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.""","Cotati, California","Petaluma, California",between,disjoint,is between C and
town,Polygon,city,MultiPolygon,"""Pacifica (Spanish: Pac‚Äö√†√∂‚Äö√¢‚Ä†fica, meaning 'Peaceful') is a city in San Mateo County, California, on the coast of the Pacific Ocean between San Francisco and Half Moon Bay.""","Pacifica, California","San Francisco, California",between,disjoint,is between C and
town,Polygon,city,Polygon,"""Pacifica (Spanish: Pac‚Äö√†√∂‚Äö√¢‚Ä†fica, meaning 'Peaceful') is a city in San Mateo County, California, on the coast of the Pacific Ocean between San Francisco and Half Moon Bay.""","Pacifica, California","Half Moon Bay, California",between,disjoint,is between C and
city,Polygon,city,Polygon,"""The city is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg and Sealy.""","Rosenberg, Texas","Sealy, Texas",between,disjoint,is between C and
town,Polygon,county,Polygon,"""Today this steam-and-diesel railroad museum operates tourist trains between Palestine and Rusk.""","Palestine, Texas","Rusk, Texas",between,disjoint,is between C and
city,Polygon,city,MultiPolygon,"""Located on the U.S. Route 77 corridor between Corpus Christi and Harlingen, Kingsville is the principal city of the Kingsville Micropolitan Statistical Area, which is part of the larger Corpus Christi-Kingsville Combined Statistical Area.""","Corpus Christi, Texas","Harlingen, Texas",between,disjoint,is between C and
city,Polygon,city,Polygon,"""The city consists of two residential neighborhoods situated between Beaumont and Lumberton.""","Beaumont, Texas","Lumberton, Texas",between,disjoint,is between C and
city,Polygon,city,Polygon,"""Belton is a city in the U.S. state of Texas on the Interstate 35 corridor between Austin and Waco.""","Belton, Texas","Waco, Texas",between,disjoint,is between C and
city,Polygon,city,MultiPolygon,"""Belton is a city in the U.S. state of Texas on the Interstate 35 corridor between Austin and Waco.""","Belton, Texas","Austin, Texas",between,disjoint,is between C and
town,Polygon,city,MultiPolygon,"""The city is located in the Mid-Cities suburban region between Dallas and Fort Worth and includes a larger portion of Dallas/Fort Worth International Airport than other cities.""","Grapevine, Texas","Dallas, Texas",between,disjoint,is between C and
town,Polygon,city,MultiPolygon,"""The city is located in the Mid-Cities suburban region between Dallas and Fort Worth and includes a larger portion of Dallas/Fort Worth International Airport than other cities.""","Grapevine, Texas","Fort Worth, Texas",between,disjoint,is between C and
town,Polygon,city,MultiPolygon,"""Located on Interstate 10 and US 90 between San Antonio, Austin, and Houston, Weimar is a small community of predominantly Czech and German descendants.""","Weimar, Texas","San Antonio/Austin/Houston, Texas",between,disjoint,is between C and
town,Polygon,city,Polygon,"""The city is bordered by Escondido to the east, Encinitas to the southwest, Carlsbad to the west, and Vista to the northwest.""","San Marcos, California","Vista, California",bordered by,touches,is bordered by
city,Polygon,city,MultiPolygon,"""It is bordered by the cities of Houston and Pasadena, and geographically located southeast of Houston.""","South Houston, Texas","Houston, Texas",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""The city is bordered by Escondido to the east, Encinitas to the southwest, Carlsbad to the west, and Vista to the northwest.""","San Marcos, California","Carlsbad, California",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""Monterey Park is bordered by Alhambra, Los Angeles, Montebello, and Rosemead.""","Monterey Park, California","Alhambra, California",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""Monterey Park is bordered by Alhambra, Los Angeles, Montebello, and Rosemead.""","Monterey Park, California","Los Angeles, California",bordered by,touches,is bordered by
town,Polygon,town,Polygon,"""Monterey Park is bordered by Alhambra, Los Angeles, Montebello, and Rosemead.""","Monterey Park, California","Montebello, California",bordered by,touches,is bordered by
city,Polygon,city,MultiPolygon,"""Jacinto City is part of the Houston‚Äö√Ñ√¨Sugar Land‚Äö√Ñ√¨Baytown metropolitan area and is bordered by the cities of Houston and Galena Park.""","Jacinto City, Texas","Houston, Texas",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Jacinto City is part of the Houston‚Äö√Ñ√¨Sugar Land‚Äö√Ñ√¨Baytown metropolitan area and is bordered by the cities of Houston and Galena Park.""","Jacinto City, Texas","Galena Park, Texas",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by the cities of Houston and Pasadena, and geographically located southeast of Houston.""","South Houston, Texas","Pasadena, Texas",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Hermosa Beach is bordered by the other two, Manhattan Beach to the north and Redondo Beach to the south and east.""","Hermosa Beach, California","Redondo Beach, California",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""It is bordered on all sides by the City of Los Angeles.""","San Fernando, California","City of Los Angeles, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Beaumont is bordered on the east by the city of Banning, on the south by the city of San Jacinto, on the west by the city of Calimesa, and on the north by the unincorporated community of Cherry Valley.""","Beaumont, California","Banning, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Beaumont is bordered on the east by the city of Banning, on the south by the city of San Jacinto, on the west by the city of Calimesa, and on the north by the unincorporated community of Cherry Valley.""","Beaumont, California","Calimesa, California",bordered by,touches,is bordered by
village,Polygon,village,Polygon,"""Terrell Hills is bordered on the west by Alamo Heights, on the east by Fort Sam Houston, on the north by Uptown San Antonio, and on the south by San Antonio's Near East Side.""","Terrell Hills, Texas","Alamo Heights, Texas",bordered by,touches,is bordered by
county,MultiPolygon,administrative,Polygon,"""The city is in western Los Angeles County and is bordered to the north by Bell Canyon and Ventura County.""","Los Angeles County, California","Bell Canyon, California",bordered by,touches,is bordered by
town,Polygon,town,Polygon,"""The city is bordered by Escondido to the east, Encinitas to the southwest, Carlsbad to the west, and Vista to the northwest.""","San Marcos, California","Encinitas, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Hermosa Beach is bordered by the other two, Manhattan Beach to the north and Redondo Beach to the south and east.""","Hermosa Beach, California","Manhattan Beach, California",bordered by,touches,is bordered by
town,Polygon,city,MultiPolygon,"""The city is bordered by Escondido to the east, Encinitas to the southwest, Carlsbad to the west, and Vista to the northwest.""","San Marcos, California","Escondido, California",bordered by,touches,is bordered by
town,Polygon,city,MultiPolygon,"""Pico Rivera is bordered by Montebello to the west, Downey to the south, Santa Fe Springs to the southeast, and Whittier to the east.""","Pico Rivera, California","Whittier, California",bordered by,touches,is bordered by
city,Polygon,town,Polygon,"""Glendora is bordered by Azusa and the unincorporated community of Citrus to the west, San Dimas to the east and south, Covina and the unincorporated community of Charter Oak to the south, and the San Gabriel Mountains range to the north.""","Glendora, California","Azusa, California",bordered by,touches,is bordered by
city,Polygon,city,MultiPolygon,"""Glendora is bordered by Azusa and the unincorporated community of Citrus to the west, San Dimas to the east and south, Covina and the unincorporated community of Charter Oak to the south, and the San Gabriel Mountains range to the north.""","Glendora, California","Covina, California",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""Pico Rivera is bordered by Montebello to the west, Downey to the south, Santa Fe Springs to the southeast, and Whittier to the east.""","Pico Rivera, California","Downey, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Bradbury is bordered by the city of Monrovia to the west and south, and Duarte to the south and east.""","Bradbury, California","Duarte, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Westminster is bordered by the city of Seal Beach on the west, by Garden Grove on the north and east, and by Huntington Beach and Fountain Valley on the south.""","Westminster, California","Fountain Valley, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Westminster is bordered by the city of Seal Beach on the west, by Garden Grove on the north and east, and by Huntington Beach and Fountain Valley on the south.""","Westminster, California","Garden Grove, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Westminster is bordered by the city of Seal Beach on the west, by Garden Grove on the north and east, and by Huntington Beach and Fountain Valley on the south.""","Westminster, California","Huntington Beach, California",bordered by,touches,is bordered by
city,Polygon,town,Polygon,"""Murrieta is bordered by the city of Temecula to the south, the cities of Menifee and Wildomar to the north, and the unincorporated community of French Valley to the east.""","Murrieta, California","Menifee, California",bordered by,touches,is bordered by
town,Polygon,town,Polygon,"""Pico Rivera is bordered by Montebello to the west, Downey to the south, Santa Fe Springs to the southeast, and Whittier to the east.""","Pico Rivera, California","Montebello, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Glendora is bordered by Azusa and the unincorporated community of Citrus to the west, San Dimas to the east and south, Covina and the unincorporated community of Charter Oak to the south, and the San Gabriel Mountains range to the north.""","Glendora, California","San Dimas, California",bordered by,touches,is bordered by
town,Polygon,city,Polygon,"""Pico Rivera is bordered by Montebello to the west, Downey to the south, Santa Fe Springs to the southeast, and Whittier to the east.""","Pico Rivera, California","Santa Fe Springs, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Westminster is bordered by the city of Seal Beach on the west, by Garden Grove on the north and east, and by Huntington Beach and Fountain Valley on the south.""","Westminster, California","Seal Beach, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Murrieta is bordered by the city of Temecula to the south, the cities of Menifee and Wildomar to the north, and the unincorporated community of French Valley to the east.""","Murrieta, California","Temecula, California",bordered by,touches,is bordered by
city,Polygon,town,Polygon,"""Murrieta is bordered by the city of Temecula to the south, the cities of Menifee and Wildomar to the north, and the unincorporated community of French Valley to the east.""","Murrieta, California","Wildomar, California",bordered by,touches,is bordered by
city,MultiPolygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Newport Beach, California","Huntington Beach, California",bordered by,disjoint,is bordered by
city,Polygon,city,Polygon,"""It is bordered by the cities of Laguna Beach on the west and southwest, Laguna Hills on the east, Laguna Niguel on the southeast, and Laguna Woods on the north.""","Aliso Viejo, California","Laguna Woods, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Costa Mesa, California","Huntington Beach, California",bordered by,touches,is bordered by
building,Polygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","the Pacific Ocean, California","Huntington Beach, California",bordered by,disjoint,is bordered by
town,Polygon,town,Polygon,"""It is bordered by the cities of Bell on the south, Vernon on the north and west, Huntington Park on the southwest, and Commerce on the east.""","Huntington Park, California","Commerce, California",bordered by,disjoint,is bordered by
city,Polygon,city,Polygon,"""It is bordered by the cities of Laguna Beach on the west and southwest, Laguna Hills on the east, Laguna Niguel on the southeast, and Laguna Woods on the north.""","Aliso Viejo, California","Laguna Hills, California",bordered by,touches,is bordered by
town,Polygon,municipality,Polygon,on the southwest,"Spooner,wisconsin","bashaw,wisconsin",bordered by,touches,is bordered by
city,Polygon,town,Polygon,"""It is bordered by Long Beach on the west and south, Bellflower on the north, Cerritos on the northeast, Cypress on the east, and Hawaiian Gardens on the southeast.""","Long Beach, California","Bellflower, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by the cities of Laguna Beach on the west and southwest, Laguna Hills on the east, Laguna Niguel on the southeast, and Laguna Woods on the north.""","Aliso Viejo, California","Laguna Niguel, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by the cities of Laguna Beach on the west and southwest, Laguna Hills on the east, Laguna Niguel on the southeast, and Laguna Woods on the north.""","Aliso Viejo, California","Laguna Beach, California",bordered by,touches,is bordered by
town,Polygon,village,Polygon,"""It is bordered by the cities of Bell on the south, Vernon on the north and west, Huntington Park on the southwest, and Commerce on the east.""","Bell, California","Vernon, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Seal Beach, California","Huntington Beach, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Fountain Valley, California","Huntington Beach, California",bordered by,touches,is bordered by
village,Polygon,town,Polygon,"""It is bordered by the cities of Bell on the south, Vernon on the north and west, Huntington Park on the southwest, and Commerce on the east.""","Vernon, California","Huntington Park, California",bordered by,touches,is bordered by
town,Polygon,town,Polygon,"""It is bordered by the cities of Bell on the south, Vernon on the north and west, Huntington Park on the southwest, and Commerce on the east.""","Maywood, California","Commerce, California",bordered by,disjoint,is bordered by
city,Polygon,town,Polygon,"""Beaumont is bordered on the east by the city of Banning, on the south by the city of San Jacinto, on the west by the city of Calimesa, and on the north by the unincorporated community of Cherry Valley.""","Beaumont, California","San Jacinto, California",bordered by,disjoint,is bordered by
city,MultiPolygon,city,Polygon,"""Covina is bordered by West Covina, to its south and west side.""","Covina, California","West Covina, California",bordered by,overlaps,is bordered by
city,Polygon,locality,Polygon,"""Beaumont is bordered on the east by the city of Banning, on the south by the city of San Jacinto, on the west by the city of Calimesa, and on the north by the unincorporated community of Cherry Valley.""","Beaumont, California","Cherry Valley, California",bordered by,overlaps,is bordered by
city,Polygon,county,Polygon,"""the city is bordered by Galveston to the east and west.""","Jamaica Beach, Texas","Galveston, Texas",bordered by,within,is bordered by
city,Polygon,county,LineString,bordering,"Fountain City,wisconsin","the Mississippi River,wisconsin",borders,touches,borders
city,MultiPolygon,municipality,MultiPolygon,bordered by,"Neenah,wisconsin","town of neenah,wisconsin",borders,touches,borders
city,MultiPolygon,city,Polygon,"""Though primarily in Harris County, small portions of the city extend into Fort Bend, and Montgomery counties, bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands.""","Houston, Texas","Sugar Land, Texas",borders,touches,borders
city,Polygon,municipality,MultiPolygon,bordered by,"Colby,wisconsin","town of hull,wisconsin",borders,touches,borders
city,MultiPolygon,municipality,MultiPolygon,bordered by,"Boscobel,wisconsin","town of boscobel,wisconsin",borders,touches,borders
